parse_str,freq,ss_type,meaning,ss_type2,examples
NN|VV|NN|吗,4154,q,,sentence,"[""泰坦|陨落|2好玩|吗"", ""壁虎|是|益虫|吗"", ""泰州|属于|中国|吗"", ""关晓彤|是|处女|吗"", ""箍牙会|改变|脸型|吗""]"
怎么|VV|NN,3865,q,,sentence,"[""怎么|挑|榴莲"", ""怎么|开|椰子"", ""怎么|修|胡子"", ""怎么|设置|虚拟内存"", ""怎么|投诉|财付通""]"
NN|哪个|JJ,2985,q,,sentence,"[""5g|信道|哪个|好"", ""闪电|匕首和影刃|哪个|好"", ""崂山|巨峰和仰口|哪个|好"", ""电力|猫和中继器|哪个|好"", ""饿了么和美团|外卖|哪个|好""]"
NN|如何|VV|NN,2544,q,,sentence,"[""dnf|如何|制作|90级圣物"", ""win7|如何|关闭|135端口"", ""2003|如何|关闭|445端口"", ""ppt|如何|更换|模板"", ""李幼斌|如何|评价|靳东""]"
NN|如何|VV,2457,q,,sentence,"[""委托书|如何|写"", ""删除的短信|如何|恢复"", ""osx10.8.5|如何|升级"", ""国标|如何|下载"", ""ps|如何|裁剪""]"
NN|JJ|吗,2340,q,,sentence,"[""苹果|笔记本|好用|吗"", ""2345安全|卫士|好用|吗"", ""苏州|莱克|真的很差|吗"", ""保险|岛|可靠|吗"", ""秘宝|猎人|好玩|吗""]"
NN|VV|吗,2141,q,,sentence,"[""connor和troye|分手了|吗"", ""steam|在中国合法|吗"", ""卡当网|倒闭了|吗"", ""灭蚊灯|对人有害|吗"", ""psv|破解了|吗""]"
NN|VV|哪些,2093,q,,sentence,"[""贸易|方式|有|哪些"", ""推土机|cpu|有|哪些"", ""杂粮粥|最佳搭配|有|哪些"", ""湖南|古镇|有|哪些"", ""二本师范|大学|有|哪些""]"
怎样|VV|NN,1530,q,,sentence,"[""怎样|在百度地图上标注|自己的店名"", ""怎样|快速降|甘油三酯"", ""怎样|治疗|失眠症"", ""怎样|清洗|小龙虾"", ""怎样|做|牛尾汤""]"
NN|什么|NN,1509,q,,sentence,"[""tim|什么|意思"", ""社会|什么|意思"", ""阿珂带|什么|技能"", ""魏国强和安迪|什么|关系"", ""白学家|什么|意思""]"
NN|哪个|NN|JJ,1413,q,,sentence,"[""linux|哪个|版本|好用"", ""手表|哪个|牌子|好"", ""深圳|哪个|区|最繁华"", ""普洱茶|哪个|牌子|好"", ""家用锅炉|哪个|牌子|好""]"
NN|JJ,1404,q,,phrase,"[""水龙头|出水|少"", ""欢乐颂|2星期几|更新"", ""电脑|网速|慢"", ""微波炉|旋转式|好还是平台式好"", ""鹅掌风的治疗|方法|简单""]"
NN|VV|怎么办,1393,q,,sentence,"[""头发|自然卷|怎么办"", ""月经|还没来|怎么办"", ""用脑|过度头疼|怎么办"", ""婴儿|咳嗽|怎么办"", ""电脑|没有mtp驱动|怎么办""]"
NN|多少|NN,1377,q,,sentence,"[""建筑|模板|多少|钱"", ""2017|建党|多少|周年"", ""沪|m的牌照|多少|钱"", ""全车贴|膜|多少|钱"", ""美国|小费|多少|钱""]"
什么|VV|NN,1361,q,,sentence,"[""什么|是|淘宝客"", ""什么|是|数字化转型"", ""什么|是|期权"", ""什么|是|金融"", ""什么|治|早泄""]"
NN|在哪,1238,q,,sentence,"[""阿鲁因的请求|奥露乐|在哪"", ""360扩展|程序|在哪"", ""格兰迪|发电站|在哪"", ""dnf|敏泰|在哪"", ""internet|选项|在哪""]"
NN|为什么|VV|NN,1222,q,,sentence,"[""羊驼|为什么|叫草|密码"", ""青蛙|为什么|是|益虫"", ""钟镇涛|为什么|叫|阿b"", ""吡喹酮片|为什么|是|禁药"", ""邓发|为什么|杀|李特""]"
NN|VV|谁,1159,q,,sentence,"[""影刹的职业|导师|是|谁"", ""司|棋|是|谁"", ""择天记|黑龙|是|谁"", ""人民的名义|副国级|是|谁"", ""王子文|老公|是|谁""]"
NN|VV|什么|VV,1117,q,,sentence,"[""饥荒|猪王|有|什么|用"", ""宝石|碎片|有|什么|用"", ""dnf|超越之诺尔妮的时空|石有|什么|用"", ""集分|宝|有|什么|用"", ""宠物|符咒|有|什么|用""]"
NN|VV|哪些|NN,1076,q,,sentence,"[""中东|有|哪些|国家"", ""重庆|有|哪些|连锁超市"", ""甲醛|对人体的危害有|哪些|症状"", ""夹竹桃|有|哪些|用途"", ""93阅兵|有|哪些|飞机""]"
NN|为什么|VV,1026,q,,sentence,"[""李克|为什么|还被降职"", ""伍佰的歌|为什么|被禁"", ""张朝阳|为什么|不结婚"", ""卡扎菲|为什么|被推翻"", ""埃涅阿斯|为什么|不走""]"
NN|怎么办,1000,q,,sentence,"[""荨麻|诊|怎么办"", ""樱桃|酸|怎么办"", ""半月板|损伤|怎么办"", ""深圳市|居住证|怎么办"", ""visa|卡|怎么办""]"
NN|什么|时候|VV,971,q,,sentence,"[""一带|一路|什么|时候|开会"", ""17年|19人大|什么|时候|开"", ""高能少年|团|什么|时候|播"", ""地狱|恋人|什么|时候|上映"", ""变形金刚|ol|什么|时候|公测""]"
NN|VV|哪里,942,q,,sentence,"[""恒洁|卫浴的缺点|在|哪里"", ""上海嘉定|红灯区|在|哪里"", ""平安|应急钱包|在|哪里"", ""iphone百度网盘|下载的文件|在|哪里"", ""win|10运行|在|哪里""]"
NN|吗,894,q,,sentence,"[""土耳其|旅游|安全|吗"", ""小米|手环|2防水|吗"", ""日照|莒县|穷|吗"", ""棕色的边境|牧羊犬|纯|吗"", ""尿酸|高能吃|芦笋|吗""]"
NN|哪|M|JJ,831,q,,sentence,"[""苏州|注册公司|哪|家|好"", ""香港|服务器|哪|家|好"", ""西数|紫盘和蓝盘|哪|个|好"", ""狗狗|驱虫药|哪|种|好"", ""天津|男科|哪|家|好""]"
NN|VV|多少,777,q,,sentence,"[""内衣|38胸围|是|多少"", ""公积金的初始|密码|是|多少"", ""38b|胸围|是|多少"", ""1980年|一张2角|值|多少"", ""正常人|血糖|是|多少""]"
NN|什么|NN|JJ,765,q,,sentence,"[""化妆刷|什么|牌子|好"", ""igxe|什么|礼包|合算"", ""戒指|什么|牌子|好"", ""英魂之刃|什么|英雄|最厉害"", ""爬行垫|什么|材质的|好""]"
NN|VV|NN|怎么办,765,q,,sentence,"[""苹果|开机|蓝屏|怎么办"", ""手机|老是弹出|广告|怎么办"", ""网络|上传|速度慢|怎么办"", ""打印机|重复打印|一个文件|怎么办"", ""洗衣机|有|异味|怎么办""]"
NN|PP|NN,718,q,,sentence,"[""禽|用氨溴索|用量"", ""电线|品牌前|十大排名"", ""shape|ofyou|歌词"", ""初中生|用天然美白|方法"", ""外国人|在中国|人数""]"
NN|怎么|VV|JJ,689,q,,sentence,"[""混沌馅|怎么|调|好吃"", ""新蒜|怎么|腌|好吃"", ""ps|怎么|把边缘变的|平滑"", ""牛里脊|怎么|做|好吃"", ""贺卡|怎么|做|简单又漂亮""]"
NN|VV|JJ,677,q,,sentence,"[""lolfps|突然变得|很低"", ""人民的名义|是|真事么"", ""头皮|刺痛如针扎|一样"", ""中国|为何崛起|这么快"", ""四肢|酸痛|麻木""]"
NN|VV|NN|怎么样,631,q,,sentence,"[""delsey|拉杆|箱|怎么样"", ""jbl|c100|si|怎么样"", ""奥力|移动|空调|怎么样"", ""人人|贷和|恒昌|怎么样"", ""过期的牛奶|喝了|会|怎么样""]"
NN|VV|NN|VV|什么|NN,615,q,,sentence,"[""女生|做|春梦|是|什么|预兆"", ""秋|占|生女|是|什么|意思"", ""侠客|风云传前传|大师兄|选|什么|武功"", ""绝地|求生|大逃杀|用|什么|加速器"", ""多肉植物|掉|叶子|是|什么|原因""]"
VV|NN|怎么|VV|NN,603,q,,sentence,"[""我的|世界|怎么|做|电梯"", ""支付|宝|怎么|找|人工客服"", ""辐射|避难所|怎么|刷|箱子"", ""没带|身份证|怎么|坐|高铁"", ""淘宝|客|怎么|申请|高佣金""]"
NN|为什么|JJ,601,q,,sentence,"[""黄凯芹|为什么|不红"", ""张少华|为什么|没钱"", ""蒂姆罗宾斯|为什么|不火"", ""黄浩然|为什么|不红"", ""南极|为什么|没有熊""]"
NN|VV|什么|NN|JJ,565,q,,sentence,"[""经期|吃|什么|菜|比较好"", ""matlab|下载|什么|版本|好"", ""美国|带|什么|东西|最划算"", ""黑的人|穿|什么|颜色|好看"", ""深圳|找|什么|工作|好""]"
VV|什么|NN,541,q,,sentence,"[""吃翔|什么|意思"", ""有|什么|超级好看的电影"", ""当保镖需要|什么|条件"", ""韩国后适合|什么|年龄"", ""急得|什么|填空""]"
NN|PP,537,q,,sentence,"[""珍珠岩|对植物的作用"", ""萨德|对韩国的影响"", ""第1个图|由1个圆组成"", ""营改增|对建筑业的影响"", ""抽烟|对皮肤的影响""]"
NN|CD|怎么|VV|NN,521,q,,sentence,"[""windows|10|怎么|关闭|自动更新"", ""模拟人生|4|怎么|加载|mod"", ""极品飞车|19|怎么|设置|中文"", ""苹果|6|怎么|开|网络"", ""win|10|怎么|添加|美式键盘""]"
NN|VV|几|M|NN,516,q,,sentence,"[""中国|有|几|个|省"", ""每个帮派|最多拥有|几|个|副帮主"", ""靳东|有|几|任|老婆"", ""詹姆斯|拿过|几|次|总冠军"", ""许茹芸|结过|几|次|婚""]"
NN|VV|什么|JJ,510,q,,sentence,"[""子宫肌瘤|手术后吃|什么|好"", ""白内障|手术后吃|什么|好"", ""阑尾炎|手术后吃|什么|好"", ""白云观|求|什么|最灵验"", ""invocationtargetexception|是|什么|异常""]"
NN|好吗,494,q,,sentence,"[""dnf|贝雷斯|好吗"", ""微谷|教育|好吗"", ""晚上|11点运动|好吗"", ""中元节|出生的人|好吗"", ""剑|灵拳师|好吗""]"
NN|VV|NN|VV|吗,482,q,,sentence,"[""博客|还有|人|用|吗"", ""座位|险有|必要|买|吗"", ""永恒之塔|还有|人|玩|吗"", ""京东|买|空调|免费安装|吗"", ""划痕|险有|必要|买|吗""]"
NN|VV|NN|JJ,482,q,,sentence,"[""腿上|长|红疙瘩|很痒"", ""传奇|私服|下面|黑"", ""matlab|求|矩阵的jordan|标准型"", ""胎盘|位于|前壁|好还是后壁好"", ""手机|下载|解析|错误""]"
NN|VV|哪个|NN,465,q,,sentence,"[""特朗普|是|哪个|党"", ""你|最喜欢|哪个|版本的浏阳河"", ""戒指|戴|哪个|手指"", ""克鲁|赛德战记|哪个|服好"", ""字体|放在|哪个|文件夹""]"
NN|VV|怎么|M|NN,455,q,,sentence,"[""手机|发热|是|怎么|回|事"", ""耳朵|后面|疼|怎么|回|事"", ""猫|流口水|是|怎么|回|事"", ""胯骨|疼痛|是|怎么|回|事"", ""眼睛|冒金星|是|怎么|回|事""]"
NN|CD|VV|NN,420,q,,sentence,"[""win|10|关闭|445端口的方法"", ""itunes|64|已停止|工作"", ""ds|160|去过|塞班"", ""暗黑破坏神|2|停止|工作"", ""cleanmymac|3|激活|码""]"
NN|VV|多久,405,q,,sentence,"[""欠条的有效期|是|多久"", ""鸡蛋|煮|多久"", ""盗窃|判|多久"", ""脑萎缩|能活|多久"", ""煮鸡蛋|能放|多久""]"
VV|NN|VV|什么,402,q,,sentence,"[""联通在信|信息费|是|什么"", ""虐|y|是|什么"", ""怀孕|第二个月|注意|什么"", ""支付|宝集分宝|是|什么"", ""送|酒|送|什么""]"
VV|NN|VV|NN|吗,391,q,,sentence,"[""快充对|电池|有|伤害|吗"", ""撒|贝宁|有|钱|吗"", ""佰仟|金融|是|正规公司|吗"", ""充电|宝能|带上|飞机|吗"", ""掉|头发|是|肾虚|吗""]"
什么|NN|JJ,389,q,,sentence,"[""什么|牌子的素颜霜|好用"", ""什么|品牌的钻戒|好"", ""什么|红酒|比较好"", ""什么|姓的人|最多"", ""什么|牌子的奶瓶|好""]"
VV|NN|怎么样,381,q,,sentence,"[""筑|云|怎么样"", ""益康纤美贴|效果|怎么样"", ""力胜|键盘|怎么样"", ""欣奕除疤|效果|怎么样"", ""问道|现在|怎么样""]"
NN|多少,370,q,,sentence,"[""赵本山|女儿|直播号|多少"", ""安小落|模特|身高|多少"", ""泰国|旅游|价格|多少"", ""蕃茄|田|加盟费|多少"", ""税务|师|一般工资|多少""]"
NN|VV|NN|VV|什么,364,q,,sentence,"[""甲状腺癌|根治|术|是|什么"", ""梦幻手|游|高级宝图|出|什么"", ""微来购|邀请|码|是|什么"", ""鼻子|挤出|来的白色东西|是|什么"", ""血|爆|战士|是|什么""]"
如何|VV|NN|VV|NN,359,q,,sentence,"[""如何|引导|学生|发现|问题"", ""如何|安抚|客户|不满|情绪"", ""如何|增强|责任|担当|意识"", ""如何|偷看|别人|微信聊天|记录"", ""如何|清除|远程桌面|连接|记录""]"
NN|P|哪|VV,357,q,,sentence,"[""昆莱山|牦牛|在|哪|买"", ""dnf|紫玛瑙|在|哪|买"", ""战神之血染|青春|在|哪|看"", ""剑|三大附魔|在|哪|买"", ""小美冈|布奥|在|哪|出现""]"
NN|P|哪里|VV,349,q,,sentence,"[""裂魂|装备|在|哪里|换"", ""女神思|瑞|在|哪里|直播"", ""肉|蒲团|在|哪里|观看"", ""公积金|流水|在|哪里|打"", ""计算机|名称|在|哪里|看""]"
NN|哪里|VV,348,q,,sentence,"[""天津|海边|哪里|好玩"", ""跳跳|哥哥|哪里|打"", ""黑暗深渊|任务|哪里|接"", ""fatego|齿轮|哪里|刷"", ""北岛玲|作品|哪里|下载""]"
NN|VV|多少|M,346,q,,sentence,"[""择天记|共有|多少|集"", ""65英寸|是|多少|厘米"", ""小四号字|是|多少|磅"", ""1px|等于|多少|厘米"", ""2.5平方线|能带|多少|千瓦""]"
NN|哪个|NN,342,q,,sentence,"[""西递和宏村|哪个|好玩"", ""6s和6splus|哪个|实用"", ""javax.persistence.column|哪个|包"", ""碧玺和尖晶石|哪个|保值"", ""eve四种泰坦|哪个|最强""]"
NN|VV|NN|JJ|吗,342,q,,sentence,"[""黑寡妇|催情|水|有用|吗"", ""小公司和开发商|联合收取|卖房团购费|合理|吗"", ""车|被划了|报警|有用|吗"", ""上海|达|丰电子厂|坑人|吗"", ""东|戴|河|好玩|吗""]"
如何|VV|NN|VV,339,q,,sentence,"[""如何|查看|摇号|中签"", ""如何|查看|rpm|包"", ""如何|禁用|网卡|启动"", ""如何|退出|携程|登录"", ""如何|在学信网打印|学历|证明""]"
如何|VV,332,q,,sentence,"[""如何|美缝"", ""如何|还债"", ""如何|减压"", ""如何|快速打字"", ""如何|搜微信群""]"
NN|哪里|JJ,331,q,,sentence,"[""青海湖|住宿|哪里|好"", ""跳跳|哥哥|哪里|多"", ""吴堡|住宿|哪里|好"", ""天邪鬼|赤|哪里|比较多"", ""辽宁|温泉|哪里|好""]"
NN|VV|CD,329,q,,sentence,"[""雷神|一共有|几部"", ""量比|大于|2"", ""陶虹|有|几个"", ""手机|自动发|1071"", ""日利率|为|0.05%""]"
NN|多少|NN|VV,323,q,,sentence,"[""枇杷|果|多少|钱|一斤"", ""德|牧犬|多少|钱|一只"", ""鸵鸟|苗|多少|钱|一只"", ""烟雾|浓度|多少|ppm|报警"", ""法国|斗牛犬|多少|钱|一只""]"
NN|怎样|VV|NN,314,q,,sentence,"[""人生|怎样|才有|意义"", ""上海|怎样|学|英语"", ""oppo|怎样|连接|电脑"", ""手表|怎样|摆放|快慢"", ""lol|怎样|隐藏|名字""]"
NN|VV|怎么|VV|NN,311,q,,sentence,"[""last|manstanding|怎么|加|好友"", ""小孩|发烧|怎么|办|土秘方"", ""牙套|是|怎么|带上|去的"", ""百度|网盘下载|怎么|用|迅雷"", ""少年群|侠传|怎么|变|狗狗""]"
NN|怎么|NN,306,q,,sentence,"[""cdr|怎么|镜像"", ""女孩|怎么|丰胸"", ""玉镯|怎么|鉴别"", ""冷秋月|怎么|死的白鹿原"", ""天谕|怎么|手动更新""]"
VV|NN|吗,305,q,,sentence,"[""书名号之间用|顿号|吗"", ""于谦是|八旗子弟|吗"", ""快易花上|征信|吗"", ""有在电脑|唱歌的软件|吗"", ""双引号之间用|顿号|吗""]"
NN|VV|NN|多少|NN,301,q,,sentence,"[""无锡|无痛|人流|多少|钱"", ""猫|打|疫苗|多少|钱"", ""吉林|无痛|人流|多少|钱"", ""vivo|换个|屏幕|多少|钱"", ""雅培金|钻|三段奶粉|多少|钱""]"
NN|好不好,299,q,,sentence,"[""dnf|屠戮之刃|好不好"", ""美国|勃金v8|好不好"", ""小林纳豆|激酶|好不好"", ""山泽|网线|好不好"", ""橡胶木|餐桌|好不好""]"
NN|JJ|怎么办,295,q,,sentence,"[""高考|分数|低|怎么办"", ""小儿|药物|过敏|怎么办"", ""小孩|皮肤|过敏|怎么办"", ""手长|冻疮|很痒|怎么办"", ""产妇|奶水|稀|怎么办""]"
NN|VV|JJ|吗,288,q,,sentence,"[""手机|对孕妇辐射|大|吗"", ""杨|广是|昏君|吗"", ""13cm的丁丁|算|小|吗"", ""双频无线路由器|辐射|大|吗"", ""ps4|最终幻想|好玩|吗""]"
NN|怎样|VV,283,q,,sentence,"[""二级路由|怎样|设置"", ""lol|怎样|ob"", ""应届毕业生|怎样|界定"", ""新鲜蚕豆|怎样|保存"", ""蚕豆|怎样|保存""]"
NN|哪里|VV|NN,280,q,,sentence,"[""峨眉山|哪里|看|猴子"", ""天津|哪里|看|乳腺好"", ""深圳|哪里|适合|老人玩"", ""平顶山|哪里|卖|广角镜"", ""沙市|哪里|有|全套""]"
VV|NN|JJ|吗,277,q,,sentence,"[""湄公|鱼刺|多|吗"", ""挂靠|协议|合法|吗"", ""自学|cad|难|吗"", ""在京东买|iphone7|可靠|吗"", ""住在清潭|洞|好看|吗""]"
NN|CD,276,q,,sentence,"[""3岁血红蛋白|69"", ""血红蛋白|151"", ""最小值|2"", ""错误码|655360"", ""sn+1=2sn+a|1""]"
为什么|NN|VV|NN,259,q,,sentence,"[""为什么|粤语|这么受|欢迎"", ""为什么|黄金|是|硬通货"", ""为什么|nodejs|是|全栈"", ""为什么|海|是|蓝的"", ""为什么|手机|突然黑屏开|不了机""]"
NN|P|哪个|NN,252,q,,sentence,"[""身份证|芯片|在|哪个|位置"", ""杂技之乡|吴桥|在|哪个|省"", ""微信|照片|在|哪个|文件夹"", ""ipad|照片|在|哪个|文件夹"", ""wps|字体|在|哪个|文件夹""]"
NN|JJ|怎么|VV,249,q,,sentence,"[""函数|不正确|怎么|解决"", ""amd|冷又静|怎么|开"", ""网速|慢|怎么|解决"", ""excel|太大|怎么|压缩"", ""肠胃|不好|怎么|调理""]"
怎么|VV,244,q,,sentence,"[""怎么|把歌曲的人声去掉"", ""怎么|和天秤座相处"", ""怎么|腌甜蒜"", ""怎么|在yy赚钱"", ""怎么|撸管爽""]"
NN|PP|怎么|VV,240,q,,sentence,"[""大理|到西双版纳|怎么|去"", ""六里桥|到北京站|怎么|走"", ""眉山|到温江|怎么|坐车"", ""小米|解锁后|怎么|root"", ""水|烫伤后|怎么|处理""]"
为什么|VV|NN,235,q,,sentence,"[""为什么|设计|pdf"", ""为什么|没有解放|香港"", ""为什么|取消|耳机孔"", ""为什么|会|口腔溃疡"", ""为什么|经常烧|磁控管""]"
VV|NN|VV|吗,232,q,,sentence,"[""养|猴子|犯法|吗"", ""出险|一次保费|上浮|吗"", ""仰卧|起坐|对身体有害|吗"", ""买|保险|划算|吗"", ""esp可以|自己|加装|吗""]"
NN|谁|JJ,229,q,,sentence,"[""王战海和王战军|谁|厉害"", ""苏亚雷斯和卡瓦尼|谁|强"", ""牙买加与中国|谁|穷"", ""夏奇拉和皮克|谁|更有名"", ""仙道和流川枫|谁|厉害""]"
NN|VV|怎么|VV|DEG,225,q,,sentence,"[""风湿病|是|怎么|引起|的"", ""周朝|是|怎么|灭亡|的"", ""首充号|是|怎么|来|的"", ""软疣|是|怎么|引起|的"", ""q龄|是|怎么|算|的""]"
VV|NN|多少|NN,223,q,,sentence,"[""设计|一个logo|多少|钱"", ""打|一针乙肝疫苗|多少|钱"", ""尖锐湿疣|干扰素|多少|钱"", ""洗|六寸照片|多少|钱"", ""神武|宠物|多少|ss""]"
NN|VV|几|M,214,q,,sentence,"[""临沂|师范|学院|是|几|本"", ""微波炉|热|菜|需要|几|分钟"", ""北京|音乐|学院|是|几|本"", ""黑龙江|科技|大学|是|几|本"", ""成都|师范|大学|是|几|本""]"
NN|VV|NN|什么|NN,214,q,,sentence,"[""糖尿病|病发|症吃|什么|药"", ""女人|回|诸葛亮|什么|意思"", ""厉鬼|将映|结局|什么|意思"", ""520|送|女友|什么|礼物"", ""西夏|是|现在的|什么|地方""]"
NN|几|M|NN,210,q,,sentence,"[""同房|几|天|着床"", ""dnf|几|级|觉醒"", ""二战|几|个|战场"", ""爱必妥|几|个|疗程"", ""亚洲|几|个|发达国家""]"
NN|多少|NN|CD|M,209,q,,sentence,"[""妖刀姬|碎片|多少|钱|一|个"", ""蝴蝶|兰|多少|钱|一|盆"", ""玉髓|价格|多少|钱|一|克"", ""橱柜|价格|多少|钱|一|米"", ""腹膜|透析机|多少|钱|一|台""]"
CD|VV|什么|NN,207,q,,sentence,"[""360*640|是|什么|设备"", ""216|是|什么|意思"", ""12370|是|什么|电话"", ""4001109558|是|什么|电话"", ""02138690588|是|什么|电话""]"
NN|VV|什么|时候|VV,198,q,,sentence,"[""小米|max2|什么|时候|发布"", ""学费|代偿|什么|时候|发"", ""淘宝|评论|什么|时候|生效"", ""魅蓝|e2|什么|时候|发布"", ""悟空|传|什么|时候|上映""]"
NN|VV|NN|好吗,188,q,,sentence,"[""婴儿|吃|猪肝|好吗"", ""夏天|喝|黄酒|好吗"", ""晚上|喝|酸奶|好吗"", ""全民|无双|华雄|好吗"", ""早晨|空腹吃|苹果|好吗""]"
哪个|NN|JJ,185,q,,sentence,"[""哪个|网站|房价|真实"", ""哪个|保险|公司|比较好"", ""哪个|彩票|论坛|好"", ""哪个|贷款|网站|比较好"", ""哪个|运动员|鸡巴|最大""]"
NN|VV|NN|如何|VV,179,q,,sentence,"[""ofo|共享|单车|如何|使用"", ""gta5|破解|版|如何|登录"", ""老人|过世|银行卡|如何|过户"", ""word2013|引用|文献|如何|标注"", ""迪拜|落地|签证|如何|办理""]"
NN|怎么|VV|的,176,q,,sentence,"[""珍珠|怎么|形成|的"", ""肩周炎|怎么|引起|的"", ""李亚男和王祖蓝|怎么|认识|的"", ""北京的环是|怎么|分|的"", ""蓝盈莹曹骏|怎么|认识|的""]"
NN|P|什么|NN,168,q,,sentence,"[""汽车|内饰|用|什么|胶"", ""海尔|电视|用|什么|无线网卡"", ""阴部|瘙痒|用|什么|药膏"", ""b|75主板|用|什么|cpu"", ""qsv|格式|用|什么|播放器""]"
NN|怎么|JJ,159,q,,sentence,"[""吉祥斋|衣服|怎么|那么贵"", ""机械|键盘|怎么|清洁"", ""悦翔v7|油耗|怎么|那么高"", ""qq|群发|怎么|发"", ""马天宇|英语|怎么|那么好""]"
NN|多少|M,155,q,,sentence,"[""绝世高手|陈扬共|多少|章"", ""win8|系统|多少|位"", ""泰国|签证|多少|天"", ""国家|法定假日|多少|天"", ""青海|海拔|多少|米""]"
NN|哪家|NN|JJ,154,q,,sentence,"[""哈尔滨|哪家|乳腺|疾病|好"", ""廊坊|哪家|肛肠|医院|好"", ""国内|哪家|航空|公司|便宜"", ""宁波|哪家|医院|人流|好"", ""哈尔滨|哪家|白癜风|医院|好""]"
NN|如何,151,q,,sentence,"[""lindor|巧克力|档次|如何"", ""51code|培训|机构|如何"", ""奥兰多|4月|天气|如何"", ""歌|诗|图|如何"", ""奇圣|胶囊|效果|如何""]"
什么|NN|VV|NN,148,q,,sentence,"[""什么|浏览器|支持|java"", ""什么|食物|含|b12"", ""什么|游戏|适合|青轴"", ""什么|食物|是|酸性"", ""什么|驴|没有|毛""]"
NN|VV|哪里|VV,148,q,,sentence,"[""kindle|去|哪里|买"", ""核桃|dota|哪里|直播"", ""dnf|搬砖|哪里|最赚钱"", ""五彩湾|到|哪里|坐车"", ""二级西陵|谱|哪里|得到""]"
为什么|NN|VV,147,q,,sentence,"[""为什么|胡子|发黄"", ""为什么|单身神|回复"", ""为什么|ios和安卓|不互通"", ""为什么|韩国人|不用兰芝"", ""为什么|万恶淫|为首""]"
NN|CD,928,s,,,"[""人口|50.4万"", ""陈洪诚|1"", ""王润泽|1"", ""罗比奥|1"", ""胡健|1""]"
VV|CD|M,405,s,,,"[""共投资|8840万|美金"", ""一共有|20|集"", ""毕竟才播了|一|集"", ""总长达|676|分钟"", ""地处经三路|83|号""]"
AD|CD|M,338,s,,,"[""共|52|集"", ""共|155|户"", ""共|10|集"", ""重|70|公斤"", ""共|20|集""]"
NN|VV|CD|M,305,s,,,"[""全村|有|583|户"", ""埃希迪奥·阿雷瓦罗·里奥斯|现年|27|岁"", ""海岸线|长达|86|华里"", ""无霜期|长达|340|天"", ""工厂|占地|5万多|平方米""]"
CD|M,301,s,,,"[""55|岁"", ""10|种"", ""63|种"", ""36|岁"", ""38|岁""]"
NN|AD|CD|M,263,s,,,"[""这一照顾|就是|十|年"", ""年|仅|42|岁"", ""如今的侯佩岑|已经|40|岁"", ""总户数|约|2200|户"", ""这首歌的作者|仅仅|22|岁""]"
CD,212,s,,,"[""30mm"", ""1999"", ""S"", ""N"", ""1""]"
